schoolname,latitude,longitude,address,city,zip,percentasian,percentblack,percenthispanic,percentblackhispanic,percentwhite
P.S./M.S. 147 RONALD MCNAIR,40.698026,-73.740151,"218-01 116TH AVE CAMBRIA HEIGHTS, NY 11411",CAMBRIA HEIGHTS,11411,1%,95%,2%,97%,1%
P.S. 151 MARY D. CARTER,40.757671,-73.908368,"50-05 31ST AVE WOODSIDE, NY 11377",WOODSIDE,11377,17%,22%,51%,73%,7%
P.S. 171 PETER G. VAN ALST,40.771098,-73.929462,"14-14 29TH AVE LONG ISLAND CITY, NY 11102",LONG ISLAND CITY,11102,20%,27%,49%,75%,4%
P.S. 016 JOHN J. DRISCOLL,40.639729,-74.079582,"80 MONROE AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301,6%,28%,55%,83%,10%
I.S. 49 BERTA A. DREYFUS,40.620483,-74.080771,"101 WARREN ST STATEN ISLAND, NY 10304",STATEN ISLAND,10304,11%,35%,41%,76%,12%
HARBOR SCIENCE AND ARTS CHARTER SCHOOL,40.795537,-73.944526,"132-142 E 111TH ST NEW YORK, NY 10029",NEW YORK,10029,3%,56%,38%,93%,1%
THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,40.738621,-73.981534,"223 E 23RD ST NEW YORK, NY 10010",NEW YORK,10010,4%,22%,46%,68%,23%
P.S. 165 ROBERT E. SIMON,40.802678,-73.96595,"234 W 109TH ST NEW YORK, NY 10025",NEW YORK,10025,3%,14%,68%,82%,13%
P.S. 146 ANN M. SHORT,40.7897,-73.939094,"421 E 106TH ST NEW YORK, NY 10029",NEW YORK,10029,3%,26%,68%,94%,2%
P.S. 128 AUDUBON,40.841047,-73.938751,"560 W 169TH ST NEW YORK, NY 10032",NEW YORK,10032,1%,3%,95%,98%,1%
P.S. 018 JOHN PETER ZENGER,40.816249,-73.922585,"502 MORRIS AVE BRONX, NY 10451",BRONX,10451,2%,29%,64%,94%,3%
J.H.S. 151 LOU GEHRIG,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451",BRONX,10451,1%,28%,69%,98%,1%
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,40.810207,-73.91839,"345 BROOK AVE BRONX, NY 10454",BRONX,10454,1%,26%,72%,99%,1%
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,40.820398,-73.892938,"928 SIMPSON ST BRONX, NY 10459",BRONX,10459,1%,22%,76%,98%,1%
BLUEPRINT MIDDLE SCHOOL,40.829108,-73.85691,"1111 PUGLSEY AVE BRONX, NY 10472",BRONX,10472,23%,18%,56%,74%,1%
SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,40.828111,-73.917661,"250 E 164TH ST BRONX, NY 10456",BRONX,10456,2%,26%,70%,96%,1%
P.S. 008 ISAAC VARIAN,40.872553,-73.883365,"3010 BRIGGS AVE BRONX, NY 10458",BRONX,10458,5%,11%,77%,88%,7%
"P.S./M.S. 20 P.O.GEORGE J. WERDANN, III",40.869618,-73.879012,"3050 WEBSTER AVE BRONX, NY 10458",BRONX,10458,9%,8%,73%,82%,8%
P.S. 046 EDGAR ALLAN POE,40.858431,-73.887039,"2502 LORILLARD PL BRONX, NY 10458",BRONX,10458,3%,15%,80%,95%,2%
P.S. 095 SHEILA MENCHER,40.883022,-73.891672,"3961 HILLMAN AVE BRONX, NY 10463",BRONX,10463,7%,17%,70%,87%,4%
P.S. 195,40.830906,-73.877497,"1250 WARD AVE BRONX, NY 10472",BRONX,10472,2%,16%,80%,96%,0%
M.S. 582,40.708781,-73.939529,"207 BUSHWICK AVE BROOKLYN, NY 11206",BROOKLYN,11206,0%,23%,72%,95%,3%
P.S. 021 CRISPUS ATTUCKS,40.680441,-73.92635,"180 CHAUNCEY ST BROOKLYN, NY 11233",BROOKLYN,11233,1%,89%,8%,97%,2%
EBBETS FIELD MIDDLE SCHOOL,40.664878,-73.959522,"46 MCKEEVER PL BROOKLYN, NY 11225",BROOKLYN,11225,3%,64%,30%,94%,4%
P.S. 007 ABRAHAM LINCOLN,40.689594,-73.872989,"858 JAMAICA AVE BROOKLYN, NY 11208",BROOKLYN,11208,7%,9%,80%,90%,2%
J.H.S. 292 MARGARET S. DOUGLAS,40.671887,-73.893453,"301 VERMONT ST BROOKLYN, NY 11207",BROOKLYN,11207,12%,52%,33%,86%,1%
J.H.S. 014 SHELL BANK,40.593516,-73.938193,"2424 BATCHELDER ST BROOKLYN, NY 11235",BROOKLYN,11235,11%,48%,17%,64%,24%
P.S. 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESEARCH,40.736521,-73.813001,"65-11 155TH ST FLUSHING, NY 11367",FLUSHING,11367,18%,41%,36%,77%,4%
P.S. 160 WALTER FRANCIS BISHOP,40.688017,-73.799965,"109-59 INWOOD ST JAMAICA, NY 11435",JAMAICA,11435,13%,55%,20%,75%,1%
I.S. 051 EDWIN MARKHAM,40.623011,-74.145295,"20 HOUSTON ST STATEN ISLAND, NY 10302",STATEN ISLAND,10302,6%,22%,44%,66%,27%
I.S. 061 WILLIAM A MORRIS,40.634527,-74.097992,"445 CASTLETON AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301,5%,34%,44%,78%,16%
P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,40.638837,-74.079494,"211 DANIEL LOW TERR STATEN ISLAND, NY 10301",STATEN ISLAND,10301,7%,24%,63%,87%,6%
P.S. 299 THOMAS WARREN FIELD,40.690997,-73.91785,"88 WOODBINE ST BROOKLYN, NY 11221",BROOKLYN,11221,0%,47%,51%,98%,2%
SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTURES AND THE ARTS,40.807564,-73.929369,"164 BRUCKNER BLVD BRONX, NY 10454",BRONX,10454,0%,16%,82%,98%,1%
P.S. 034 FRANKLIN D. ROOSEVELT,40.726147,-73.975043,"730 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,5%,29%,63%,92%,4%
RIVER EAST ELEMENTARY,40.796906,-73.929978,"508 E 120TH ST NEW YORK, NY 10035",NEW YORK,10035,0%,45%,51%,96%,2%
JAMES WELDON JOHNSON,40.797156,-73.941285,"176 E 115TH ST NEW YORK, NY 10029",NEW YORK,10029,4%,26%,67%,93%,2%
P.S. 093 ALBERT G. OLIVER,40.822513,-73.877255,"1535 STORY AVE BRONX, NY 10473",BRONX,10473,0%,57%,40%,97%,2%
J.H.S. 123 JAMES M. KIERAN,40.824884,-73.873517,"1025 MORRISON AVE BRONX, NY 10472",BRONX,10472,1%,21%,78%,99%,0%
P.S. 055 BENJAMIN FRANKLIN,40.835973,-73.904838,"450 ST PAUL'S PL BRONX, NY 10456",BRONX,10456,0%,47%,52%,99%,0%
P.S. 032 BELMONT,40.852095,-73.885739,"690 E 183RD ST BRONX, NY 10458",BRONX,10458,1%,25%,71%,96%,3%
M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,40.845682,-73.886532,"2055 MAPES AVE BRONX, NY 10460",BRONX,10460,2%,32%,63%,95%,1%
M.S. 113 RONALD EDMONDS LEARNING CENTER,40.688432,-73.971169,"300 ADELPHI ST BROOKLYN, NY 11205",BROOKLYN,11205,4%,75%,18%,93%,2%
URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,40.694639,-73.988307,"283 ADAMS ST BROOKLYN, NY 11201",BROOKLYN,11201,5%,71%,14%,86%,8%
M.S. 035 STEPHEN DECATUR,40.681708,-73.935722,"272 MCDONOUGH ST BROOKLYN, NY 11233",BROOKLYN,11233,1%,85%,14%,98%,0%
P.S. 309 THE GEORGE E. WIBECAN PREPARATORY ACADEMY,40.688119,-73.924441,"794 MONROE ST BROOKLYN, NY 11221",BROOKLYN,11221,5%,62%,31%,93%,1%
P.S. 091 THE ALBANY AVENUE SCHOOL,40.661792,-73.940462,"532 ALBANY AVE BROOKLYN, NY 11203",BROOKLYN,11203,1%,90%,6%,97%,1%
P.S. 114 RYDER ELEMENTARY,40.642544,-73.90803,"1077 REMSEN AVE BROOKLYN, NY 11236",BROOKLYN,11236,2%,81%,10%,91%,6%
P.S. 290 JUAN MOREL CAMPOS,40.677932,-73.889763,"135 SCHENCK AVE BROOKLYN, NY 11207",BROOKLYN,11207,4%,24%,70%,94%,1%
P.S. 099 ISAAC ASIMOV,40.621492,-73.966006,"1120 E 10TH ST BROOKLYN, NY 11230",BROOKLYN,11230,41%,8%,18%,26%,32%
P.S. 212 LADY DEBORAH MOODY,40.587495,-73.985611,"87 BAY 49TH ST BROOKLYN, NY 11214",BROOKLYN,11214,34%,15%,33%,48%,18%
BROOKLYN LANDMARK ELEMENTARY SCHOOL,40.680262,-73.91115,"251 MCDOUGAL ST BROOKLYN, NY 11233",BROOKLYN,11233,2%,74%,22%,96%,2%
I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL,40.724191,-73.80937,"158-40 76TH RD FLUSHING, NY 11366",FLUSHING,11366,33%,28%,25%,53%,11%
P.S. 151 LYNDON B. JOHNSON,40.693371,-73.908233,"763 KNICKERBOCKER AVE BROOKLYN, NY 11237",BROOKLYN,11237,0%,19%,73%,92%,8%
CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL,40.598888,-73.974233,"294 AVE T BROOKLYN, NY 11223",BROOKLYN,11223,9%,40%,32%,72%,16%
P.S. 140 NATHAN STRAUS,40.719128,-73.983283,"123 RIDGE ST NEW YORK, NY 10002",NEW YORK,10002,5%,13%,78%,90%,3%
P.S. 142 AMALIA CASTRO,40.71823,-73.984082,"100 ATTORNEY ST NEW YORK, NY 10002",NEW YORK,10002,6%,11%,78%,90%,2%
SCHOOL FOR GLOBAL LEADERS,40.720185,-73.985957,"145 STANTON ST NEW YORK, NY 10002",NEW YORK,10002,15%,22%,58%,81%,2%
MOSAIC PREPARATORY ACADEMY,40.796046,-73.944549,"141 E 111TH ST NEW YORK, NY 10029",NEW YORK,10029,5%,41%,50%,91%,1%
NEW DESIGN MIDDLE SCHOOL,40.819764,-73.95724,"625 W 133RD ST NEW YORK, NY 10031",NEW YORK,10031,1%,52%,43%,95%,3%
P.S. 115 ALEXANDER HUMBOLDT,40.846134,-73.935144,"586 W 177TH ST NEW YORK, NY 10033",NEW YORK,10033,0%,1%,96%,97%,2%
P.S. 325,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",NEW YORK,10031,0%,5%,91%,96%,4%
HAMILTON HEIGHTS SCHOOL,40.826477,-73.947458,"1750 AMSTERDAM AVE NEW YORK, NY 10031",NEW YORK,10031,5%,19%,58%,77%,15%
P.S. 130 ABRAM STEVENS HEWITT,40.817778,-73.901831,"750 PROSPECT AVE BRONX, NY 10455",BRONX,10455,2%,23%,73%,96%,2%
I.S. X303 LEADERSHIP & COMMUNITY SERVICE,40.849461,-73.915529,"1700 MACOMBS RD BRONX, NY 10453",BRONX,10453,0%,23%,75%,98%,1%
P.S. 306,40.851349,-73.910712,"40 W TREMONT AVE BRONX, NY 10453",BRONX,10453,1%,28%,70%,98%,1%
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,40.859506,-73.900475,"120 E 184TH ST BRONX, NY 10468",BRONX,10468,2%,12%,85%,96%,1%
EAST FORDHAM ACADEMY FOR THE ARTS,40.859506,-73.900475,"120 E 184TH ST BRONX, NY 10468",BRONX,10468,2%,12%,84%,97%,1%
BRONX GREEN MIDDLE SCHOOL,40.86206,-73.864588,"2441 WALLACE AVE BRONX, NY 10467",BRONX,10467,8%,26%,57%,83%,9%
BRONX PARK MIDDLE SCHOOL,40.86206,-73.864588,"2441 WALLACE AVE BRONX, NY 10467",BRONX,10467,7%,26%,57%,83%,9%
P.S. 196,40.830906,-73.877497,"1250 WARD AVE BRONX, NY 10472",BRONX,10472,1%,18%,78%,95%,1%
M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,40.680431,-73.991704,"317 HOYT ST BROOKLYN, NY 11231",BROOKLYN,11231,6%,26%,47%,73%,19%
MADIBA PREP MIDDLE SCHOOL,40.691976,-73.931488,"1014 LAFAYETTE AVE BROOKLYN, NY 11221",BROOKLYN,11221,1%,76%,21%,97%,2%
THE SCHOOL OF INTEGRATED LEARNING,40.672272,-73.937164,"1224 PARK PL BROOKLYN, NY 11213",BROOKLYN,11213,3%,78%,13%,91%,3%
P.S. 397 FOSTER-LAURIE,40.658733,-73.946384,"490 FENIMORE ST BROOKLYN, NY 11203",BROOKLYN,11203,2%,83%,8%,91%,4%
P.S. 244 RICHARD R. GREEN,40.647918,-73.925602,"5404 TILDEN AVE BROOKLYN, NY 11203",BROOKLYN,11203,0%,96%,2%,98%,1%
RIVERDALE AVENUE MIDDLE SCHOOL,40.65997,-73.913616,"76 RIVERDALE AVE BROOKLYN, NY 11212",BROOKLYN,11212,1%,87%,11%,98%,0%
P.S. 048 WILLIAM WORDSWORTH,40.693571,-73.796189,"108-29 155TH ST JAMAICA, NY 11433",JAMAICA,11433,13%,65%,17%,82%,1%
P.S. 118 LORRAINE HANSBERRY,40.703442,-73.765375,"190-20 109TH RD HOLLIS, NY 11423",HOLLIS,11423,3%,82%,12%,94%,0%
EAGLE ACADEMY FOR YOUNG MEN III,40.691665,-73.778987,"171-10 LINDEN BLVD JAMAICA, NY 11434",JAMAICA,11434,1%,86%,3%,90%,3%
COMMUNITY VOICES MIDDLE SCHOOL,40.664858,-73.759088,"145-00 SPRINGFIELD BLVD SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,1%,91%,6%,97%,1%
P.S. 046 ALBERT V. MANISCALCO,40.594211,-74.080521,"41 REID AVE STATEN ISLAND, NY 10305",STATEN ISLAND,10305,10%,15%,39%,54%,35%
SISULU-WALKER CHARTER SCHOOL OF HARLEM,40.802102,-73.951358,"125 W 115TH ST NEW YORK, NY 10026",NEW YORK,10026,1%,77%,16%,92%,1%
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,5%,27%,63%,90%,4%
P.S. 111 ADOLPH S. OCHS,40.765834,-73.989602,"440 W 53RD ST NEW YORK, NY 10019",NEW YORK,10019,18%,16%,50%,66%,13%
ELLA BAKER SCHOOL,40.765368,-73.959696,"317 E 67TH ST NEW YORK, NY 10021",NEW YORK,10021,4%,19%,37%,56%,35%
P.S. 208 ALAIN L. LOCKE,40.798341,-73.950453,"21 W 111TH ST NEW YORK, NY 10026",NEW YORK,10026,3%,61%,34%,95%,1%
P.S. 005 ELLEN LURIE,40.85892,-73.922428,"3703 10TH AVE NEW YORK, NY 10034",NEW YORK,10034,1%,6%,92%,98%,0%
P.S. 098 SHORAC KAPPOCK,40.867823,-73.917818,"512 W 212TH ST NEW YORK, NY 10034",NEW YORK,10034,1%,2%,94%,96%,3%
P.S. 153 ADAM CLAYTON POWELL,40.826477,-73.947458,"1750 AMSTERDAM AVE NEW YORK, NY 10031",NEW YORK,10031,2%,20%,74%,94%,3%
P.S. 192 JACOB H. SCHIFF,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",NEW YORK,10031,0%,7%,92%,98%,1%
P.S. 163 ARTHUR A. SCHOMBURG,40.851773,-73.898794,"2075 WEBSTER AVE BRONX, NY 10457",BRONX,10457,1%,37%,60%,97%,1%
"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",40.839457,-73.901895,"1595 BATHGATE AVE BRONX, NY 10457",BRONX,10457,1%,34%,64%,98%,1%
J.H.S. 118 WILLIAM W. NILES,40.848559,-73.89257,"577 E 179TH ST BRONX, NY 10457",BRONX,10457,15%,21%,60%,81%,3%
P.S. 159 LUIS MUNOZ MARIN BILING,40.855521,-73.893276,"2315 WASHINGTON AVE BRONX, NY 10457",BRONX,10457,0%,8%,90%,98%,1%
P.S. 205 FIORELLO LAGUARDIA,40.855742,-73.881407,"2475 SOUTHERN BLVD BRONX, NY 10458",BRONX,10458,1%,15%,79%,94%,5%
THEATRE ARTS PRODUCTION COMPANY SCHOOL,40.854655,-73.897036,"2225 WEBSTER AVE BRONX, NY 10457",BRONX,10457,1%,27%,68%,95%,2%
"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",40.854751,-73.905024,"2100 WALTON AVE BRONX, NY 10453",BRONX,10453,3%,17%,79%,96%,0%
CRESTON ACADEMY,40.855211,-73.903264,"125 E 181ST ST BRONX, NY 10453",BRONX,10453,3%,12%,84%,96%,1%
P.S. 121 THROOP,40.866944,-73.850467,"2750 THROOP AVE BRONX, NY 10469",BRONX,10469,7%,61%,26%,88%,4%
BRONX ALLIANCE MIDDLE SCHOOL,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466,5%,61%,31%,92%,2%
BAYCHESTER MIDDLE SCHOOL,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466,1%,68%,27%,95%,1%
P.S. 282 PARK SLOPE,40.676626,-73.977783,"180 6TH AVE BROOKLYN, NY 11217",BROOKLYN,11217,3%,59%,25%,85%,9%
P.S. 016 LEONARD DUNKLY,40.705915,-73.962068,"157 WILSON ST BROOKLYN, NY 11211",BROOKLYN,11211,1%,27%,67%,94%,2%
JOHN ERICSSON MIDDLE SCHOOL 126,40.719769,-73.947968,"424 LEONARD ST BROOKLYN, NY 11222",BROOKLYN,11222,2%,22%,63%,84%,12%
YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,40.705023,-73.938707,"325 BUSHWICK AVE BROOKLYN, NY 11206",BROOKLYN,11206,4%,58%,33%,91%,2%
P.S. 181 BROOKLYN,40.64809,-73.945911,"1023 NEW YORK AVE BROOKLYN, NY 11203",BROOKLYN,11203,0%,86%,10%,95%,2%
I.S. 285 MEYER LEVIN,40.647443,-73.920775,"5909 BEVERLY RD BROOKLYN, NY 11203",BROOKLYN,11203,0%,94%,5%,99%,1%
MIDDLE SCHOOL FOR ART AND PHILOSOPHY,40.65785,-73.920032,"1084 LENOX RD BROOKLYN, NY 11212",BROOKLYN,11212,0%,88%,6%,94%,1%
I.S. 171 ABRAHAM LINCOLN,40.685841,-73.869429,"528 RIDGEWOOD AVE BROOKLYN, NY 11208",BROOKLYN,11208,4%,14%,77%,91%,1%
WATERSIDE SCHOOL FOR LEADERSHIP,40.579602,-73.831079,"1-90 BEACH 110TH ST ROCKAWAY PARK, NY 11694",ROCKAWAY PARK,11694,2%,55%,34%,88%,8%
VILLAGE ACADEMY,40.603951,-73.749868,"10-45 NAMEOKE ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,1%,64%,33%,97%,1%
THE EMERSON SCHOOL,40.696913,-73.786396,"108-35 167TH ST JAMAICA, NY 11433",JAMAICA,11433,11%,58%,20%,79%,2%
COLLABORATIVE ARTS MIDDLE SCHOOL,40.664858,-73.759088,"145-00 SPRINGFIELD BLVD SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,1%,91%,6%,97%,1%
P.S. 076 WILLIAM HALLET,40.760848,-73.941632,"36-36 10TH ST LONG ISLAND CITY, NY 11106",LONG ISLAND CITY,11106,9%,31%,47%,77%,11%
I.S. 027 ANNING S. PRALL,40.628284,-74.117592,"11 CLOVE LAKE PL STATEN ISLAND, NY 10310",STATEN ISLAND,10310,10%,24%,40%,63%,25%
TEACHING FIRMS OF AMERICA-PROFESSIONAL PREPARATORY CHARTER SCHOOL,40.688447,-73.935295,"616 QUINCY ST-3RD FL BROOKLYN, NY 11221",BROOKLYN,11221,1%,74%,20%,94%,1%
BROOKLYN CHARTER SCHOOL,40.694156,-73.94779,"545 WILLOUGHBY AVE BROOKLYN, NY 11206",BROOKLYN,11206,2%,81%,16%,97%,0%
EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL,40.790378,-73.942991,"2050 2ND AVE NEW YORK, NY 10026",NEW YORK,10026,1%,29%,64%,93%,2%
FUTURE LEADERS INSTITUTE CHARTER SCHOOL,40.806174,-73.948335,"134 W 122ND ST NEW YORK, NY 10027",NEW YORK,10027,1%,84%,15%,98%,1%
TECH INTERNATIONAL CHARTER SCHOOL,40.880836,-73.907086,"3120 CORLEAR AVE BRONX, NY 10463",BRONX,10463,2%,19%,76%,95%,3%
MOTT HAVEN ACADEMY CHARTER SCHOOL,40.806307,-73.920868,"170 BROWN PL BRONX, NY 10454",BRONX,10454,0%,29%,69%,98%,1%
WEST PREP ACADEMY,40.79909,-73.965359,"150 W 105TH ST NEW YORK, NY 10025",NEW YORK,10025,2%,52%,39%,91%,5%
P.S. 083 LUIS MUNOZ RIVERA,40.79313,-73.941812,"219 E 109TH ST NEW YORK, NY 10029",NEW YORK,10029,13%,20%,64%,84%,3%
P.S. 155 WILLIAM PACA,40.797495,-73.936193,"319 E 117TH ST NEW YORK, NY 10035",NEW YORK,10035,2%,11%,87%,97%,0%
P.S. 206 JOSE CELSO BARBOSA,40.796906,-73.929978,"508 E 120TH ST NEW YORK, NY 10035",NEW YORK,10035,4%,26%,61%,87%,6%
P.S. 154 JONATHAN D. HYATT,40.808255,-73.925748,"333 E 135TH ST BRONX, NY 10454",BRONX,10454,0%,40%,57%,97%,1%
URBAN INSTITUTE OF MATHEMATICS,40.826997,-73.818271,"650 HOLLYWOOD AVE BRONX, NY 10465",BRONX,10465,5%,15%,59%,74%,21%
P.S. 110 THEODORE SCHOENFELD,40.834973,-73.900304,"580 CROTONA PARK S BRONX, NY 10456",BRONX,10456,0%,42%,52%,95%,5%
I.S. 232,40.849461,-73.915529,"1700 MACOMBS RD BRONX, NY 10453",BRONX,10453,0%,20%,79%,99%,1%
P.S./I.S. 54,40.864937,-73.887793,"2703 WEBSTER AVE BRONX, NY 10458",BRONX,10458,2%,27%,70%,97%,1%
P.S. 056 NORWOOD HEIGHTS,40.872439,-73.875912,"3177 WEBSTER AVE BRONX, NY 10467",BRONX,10467,22%,8%,63%,71%,6%
WEST BRONX ACADEMY FOR THE FUTURE,40.859516,-73.88858,"500 E FORDHAM RD BRONX, NY 10458",BRONX,10458,2%,20%,75%,95%,2%
P.S. 076 THE BENNINGTON SCHOOL,40.869164,-73.860906,"900 ADEE AVE BRONX, NY 10469",BRONX,10469,3%,45%,42%,87%,8%
P.S. 196 TEN EYCK,40.708781,-73.939529,"207 BUSHWICK AVE BROOKLYN, NY 11206",BROOKLYN,11206,1%,18%,78%,96%,2%
P.S. 038 THE PACIFIC,40.684964,-73.982824,"450 PACIFIC ST BROOKLYN, NY 11217",BROOKLYN,11217,13%,37%,26%,63%,21%
P.S. 399 STANLEY EUGENE CLARK,40.648247,-73.951778,"2707 ALBERMARLE RD BROOKLYN, NY 11226",BROOKLYN,11226,3%,72%,14%,86%,1%
I.S. 068 ISAAC BILDERSEE,40.63522,-73.910912,"956 E 82ND ST BROOKLYN, NY 11236",BROOKLYN,11236,1%,90%,5%,95%,3%
P.S. 233 LANGSTON HUGHES,40.651408,-73.914021,"9301 AVE B BROOKLYN, NY 11236",BROOKLYN,11236,1%,93%,5%,98%,1%
P.S. 121 QUEENS,40.684009,-73.815955,"126-10 109TH AVE SOUTH OZONE PARK, NY 11420",SOUTH OZONE PARK,11420,49%,19%,11%,31%,1%
P.S. 036 SAINT ALBANS SCHOOL,40.690773,-73.763989,"187-01 FOCH BLVD SAINT ALBANS, NY 11412",SAINT ALBANS,11412,0%,88%,9%,97%,0%
P.S. 181 BROOKFIELD,40.656203,-73.753128,"148-15 230TH ST SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,2%,86%,8%,94%,1%
P.S. 022 GRANITEVILLE,40.624959,-74.150648,"1860 FOREST AVE STATEN ISLAND, NY 10303",STATEN ISLAND,10303,7%,24%,55%,79%,12%
EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,40.688922,-73.91033,"125 COVERT ST BROOKLYN, NY 11207",BROOKLYN,11207,1%,28%,69%,96%,2%
HYDE LEADERSHIP CHARTER SCHOOL- BROOKLYN,40.667817,-73.898173,"330 ALABAMA AVE BROOKLYN, NY 11207",BROOKLYN,11207,1%,71%,27%,98%,1%
HEKETI COMMUNITY CHARTER SCHOOL,40.809304,-73.909769,"403 CONCORD AVE BRONX, NY 10454",BRONX,10454,0%,29%,69%,98%,1%
J.H.S. 143 ELEANOR ROOSEVELT,40.849099,-73.931106,"511 W 182ND ST NEW YORK, NY 10033",NEW YORK,10033,0%,1%,96%,97%,3%
P.S. 173,40.84562,-73.939738,"306 FT WASHINGTON AVE NEW YORK, NY 10033",NEW YORK,10033,3%,3%,92%,94%,3%
I.S. 218 SALOME URENA,40.86082,-73.930066,"4600 BROADWAY NEW YORK, NY 10040",NEW YORK,10040,0%,2%,93%,96%,3%
P.S. 036 UNIONPORT,40.829446,-73.849749,"1070 CASTLE HILL AVE BRONX, NY 10472",BRONX,10472,19%,11%,64%,76%,3%
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",40.815017,-73.856018,"456 WHITE PLAINS RD BRONX, NY 10473",BRONX,10473,8%,32%,58%,90%,1%
GRANT AVENUE ELEMENTARY SCHOOL,40.828111,-73.917661,"250 E 164TH ST BRONX, NY 10456",BRONX,10456,5%,30%,62%,92%,1%
THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,40.875451,-73.901516,"120 W 231ST ST BRONX, NY 10463",BRONX,10463,2%,11%,83%,94%,3%
M.S. 390,40.854367,-73.913024,"1930 ANDREWS AVE BRONX, NY 10453",BRONX,10453,1%,13%,85%,98%,1%
ONE WORLD MIDDLE SCHOOL AT EDENWALD,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466,3%,60%,32%,93%,2%
P.S. 047 JOHN RANDOLPH,40.832525,-73.866982,"1794 E 172ND ST BRONX, NY 10472",BRONX,10472,12%,16%,68%,84%,2%
E.S.M.T- I.S. 190,40.836359,-73.89275,"1550 CROTONA PARK E BRONX, NY 10460",BRONX,10460,1%,25%,71%,96%,1%
ARCHER ELEMENTARY SCHOOL,40.838212,-73.866026,"1827 ARCHER ST BRONX, NY 10460",BRONX,10460,11%,26%,59%,85%,2%
BROOKLYN BROWNSTONE SCHOOL,40.681708,-73.935722,"272 MCDONOUGH ST BROOKLYN, NY 11233",BROOKLYN,11233,0%,82%,9%,91%,8%
M.S. K394,40.672706,-73.92893,"188 ROCHESTER AVE BROOKLYN, NY 11213",BROOKLYN,11213,6%,77%,15%,92%,1%
VISTA ACADEMY,40.676982,-73.883838,"350 LINWOOD ST BROOKLYN, NY 11208",BROOKLYN,11208,4%,27%,66%,93%,2%
P.S. K225 - THE EILEEN E. ZAGLIN,40.57981,-73.95601,"1075 OCEANVIEW AVE BROOKLYN, NY 11235",BROOKLYN,11235,17%,3%,37%,40%,42%
P.S. 198 BROOKLYN,40.636966,-73.937009,"4105 FARRAGUT RD BROOKLYN, NY 11210",BROOKLYN,11210,3%,87%,7%,94%,1%
P.S. 251 PAERDEGAT,40.631331,-73.92384,"1037 E 54TH ST BROOKLYN, NY 11234",BROOKLYN,11234,4%,77%,13%,90%,5%
P.S. 045 CLARENCE WITHERSPOON,40.672298,-73.788265,"126-28 150TH ST SOUTH OZONE PARK, NY 11436",SOUTH OZONE PARK,11436,8%,71%,17%,87%,1%
P.S. 65 - THE RAYMOND YORK ELEMENTARY SCHOOL,40.682272,-73.841648,"103-22 99TH ST OZONE PARK, NY 11417",OZONE PARK,11417,40%,6%,41%,47%,4%
M.S. 137 AMERICA'S SCHOOL OF HEROES,40.67807,-73.839652,"109-15 98TH ST OZONE PARK, NY 11417",OZONE PARK,11417,54%,5%,32%,37%,2%
